name,votes,all_star_share
Vince Carter,1911973,0.068
Alonzo Mourning,1878588,0.066
Allen Iverson,1843011,0.065
Shaquille O'Neal,1807609,0.064
Kevin Garnett,1550976,0.055
Grant Hill,1371304,0.048
Tim Duncan,1321436,0.047
Jason Kidd,1061031,0.037
Kobe Bryant,1022897,0.036
Gary Payton,898601,0.032
Jason Williams,884746,0.031
Latrell Sprewell,785302,0.028
Eddie Jones,734940,0.026
Scottie Pippen,662341,0.023
Chris Webber,661865,0.023
Allan Houston,600876,0.021
David Robinson,595451,0.021
Anfernee Hardaway,529191,0.019
Stephon Marbury,492349,0.017
Marcus Camby,477672,0.017
Ray Allen,443295,0.016
Tim Hardaway,378954,0.013
Reggie Miller,366137,0.013
Shawn Kemp,351843,0.012
Karl Malone,327599,0.012
Shareef Abdur-Rahim,325891,0.012
Glen Rice,310497,0.011
Patrick Ewing,298985,0.011
Dikembe Mutombo,277768,0.01
John Stockton,259563,0.009
Vlade Divac,254604,0.009
Lamar Odom,248176,0.009
Damon Stoudamire,243036,0.009
Keith Van Horn,238619,0.008
Sam Cassell,230600,0.008
Tracy McGrady,228439,0.008
Steve Smith,221664,0.008
Antoine Walker,214024,0.008
Steve Francis,212491,0.008
Arvydas Sabonis,206721,0.007
Michael Finley,197431,0.007
Glenn Robinson,184230,0.007
Hakeem Olajuwon,180681,0.006
Rasheed Wallace,177022,0.006
Paul Pierce,166401,0.006
Charles Barkley,165604,0.006
Antonio Davis,149402,0.005
Elden Campbell,144378,0.005
Toni Kukoč,124821,0.004
Charles Oakley,101219,0.004
