rank,name,votes
3,Russell Westbrook,1575865
2,James Harden,1771375
1,Stephen Curry,1848121
5,Chris Paul,735460
4,Klay Thompson,1054304
8,Damian Lillard,340593
7,Eric Gordon,450891
16,CJ McCollum,83414
10,Manu Ginóbili,214670
9,Andre Iguodala,290271
12,Zach LaVine,156616
18,Mike Conley,75710
6,Jordan Clarkson,460979
21,Devin Booker,70018
11,Patrick Beverley,169351
23,Victor Oladipo,54023
17,Jamal Crawford,76642
13,Shaun Livingston,127248
14,Tony Parker,111148
15,D'Angelo Russell,86770
25,J.J. Redick,41211
22,Nick Young,68085
29,George Hill,28120
19,Vince Carter,73528
20,Ian Clark,71317
30,Eric Bledsoe,27187
26,Patty Mills,40483
35,Rodney Hood,15555
31,Seth Curry,21717
36,Tony Allen,15301
37,Tyler Ennis,10953
32,Patrick McCaw,21159
47,Emmanuel Mudiay,5770
34,Álex Abrines,16299
24,Danny Green,43922
38,Kyle Anderson,10754
44,Cameron Payne,6610
45,José Calderón,6278
27,Lou Williams,29970
48,Jrue Holiday,5757
28,Jonathon Simmons,29584
43,J.J. Barea,6923
49,Leandro Barbosa,5429
33,Ricky Rubio,19495
55,Jamal Murray,3526
50,Raymond Felton,5138
64,Gary Harris,2562
61,Will Barton,2826
57,Dante Exum,3411
39,Austin Rivers,10045
40,K.J. McDaniels,8164
54,Wesley Matthews,4166
41,Anthony Morrow,7455
42,Deron Williams,7159
58,Marcelo Huertas,3205
46,Dejounte Murray,5867
60,Justin Anderson,3045
63,Tyreke Evans,2621
51,Buddy Hield,4883
70,Malik Beasley,2060
52,Kris Dunn,4481
66,Tyus Jones,2406
53,Arron Afflalo,4413
67,Evan Turner,2375
56,Troy Daniels,3489
59,Semaj Christon,3115
73,Darren Collison,1948
79,Tim Frazier,1549
62,Brandon Knight,2717
76,Bryn Forbes,1865
77,Garrett Temple,1765
65,Allen Crabbe,2460
68,Wade Baldwin,2231
69,Ty Lawson,2112
83,Mike Miller,1208
70,Bobby Brown,2060
85,Ben McLemore,1122
72,Alec Burks,1981
74,Tyler Ulis,1901
75,Shelvin Mack,1889
91,Quincy Pondexter,709
78,Raul Neto,1652
93,John Lucas III,389
80,Langston Galloway,1419
81,Devin Harris,1379
95,Pierre Jackson,220
82,Brandon Rush,1283
84,Andrew Harrison,1172
86,Jameer Nelson,991
87,Shabazz Napier,975
88,Pat Connaughton,917
89,Tim Quarterman,767
90,Malachi Richardson,716
92,E'Twaun Moore,560
94,John Jenkins,318
