rank,name,votes
1,Kyrie Irving,2170833
2,DeMar DeRozan,998999
4,Victor Oladipo,634495
6,John Wall,542836
9,Bradley Beal,269238
3,Ben Simmons,669397
8,Kyle Lowry,322036
7,Isaiah Thomas,449091
5,Dwyane Wade,617271
13,Kemba Walker,100632
12,Eric Bledsoe,124232
10,Jaylen Brown,205104
15,Goran Dragić,63387
17,Malcolm Brogdon,39598
20,Spencer Dinwiddie,30782
19,J.J. Redick,32874
11,Derrick Rose,146481
18,D'Angelo Russell,38712
28,Avery Bradley,19318
16,J.R. Smith,49454
27,Lance Stephenson,21254
31,Kris Dunn,16981
23,Frank Ntilikina,28456
24,Zach LaVine,27614
25,Dennis Schröder,25531
32,T.J. McConnell,14657
26,Courtney Lee,22226
30,Terry Rozier,17728
40,Ron Baker,10238
41,Reggie Jackson,9937
45,Darren Collison,7092
44,Nicolas Batum,8803
49,Caris LeVert,5623
50,Jerian Grant,5412
53,Tony Snell,5144
47,Wayne Ellington,6247
55,Justin Holiday,5046
57,Elfrid Payton,4717
52,Tyler Johnson,5205
65,Allen Crabbe,4044
64,Cory Joseph,4185
61,Mario Hezonja,4452
70,Joe Harris,3705
67,Luke Kennard,3778
80,David Nwaba,2201
74,Langston Galloway,2772
82,Tim Frazier,2130
83,Cameron Payne,1955
14,Kyle Korver,99576
21,Jeremy Lin,30526
91,Timothé Luwawu-Cabarrot,1722
22,Marcus Smart,29252
92,Sean Kilpatrick,1555
29,José Calderón,19280
101,Derrick Jones Jr.,1115
33,Matthew Dellavedova,13206
34,Marco Belinelli,12068
35,Markelle Fultz,11551
36,Kadeem Allen,10822
37,Arron Afflalo,10621
107,Derrick Walton,862
38,Dion Waiters,10512
39,Jarrett Jack,10265
42,Iman Shumpert,8894
43,Furkan Korkmaz,8823
46,Delon Wright,6757
48,Fred VanVleet,5660
51,Kent Bazemore,5336
54,Jeremy Lamb,5094
56,Tyler Dorsey,4754
58,Justin Anderson,4655
59,Shane Larkin,4545
60,Ryan Arcidiacono,4465
62,Malik Monk,4432
63,Treveon Graham,4227
66,Jason Terry,3862
68,John Holland,3744
68,Jabari Bird,3744
71,D.J. Augustin,3499
72,Michael Carter-Williams,3194
73,Jerryd Bayless,2853
75,DeAndre Liggins,2512
76,Jamel Artis,2489
77,Ish Smith,2425
78,Antonio Blakeney,2328
79,London Perrantes,2282
81,Jodie Meeks,2131
84,Isaiah Taylor,1931
85,Damyean Dotson,1929
86,Lorenzo Brown,1906
87,Malcolm Delaney,1850
88,Sterling Brown,1817
89,Joe Young,1790
90,Glenn Robinson III,1775
93,Rashad Vaughn,1544
94,Nik Stauskas,1493
95,Dwight Buycks,1286
96,Marcus Paige,1262
97,Sheldon Mac,1234
98,Josh Magette,1203
99,Luis Montero,1195
100,Terrence Ross,1177
102,Isaiah Whitehead,1091
103,Quincy Pondexter,1053
104,Shelvin Mack,1050
105,Ramon Sessions,1035
106,Rodney McGruder,926
108,Gary Payton II,834
109,James Young,791
110,Damien Wilkins,790
111,Milton Doyle,652
112,Jacob Pullen,548
113,Julyan Stone,453
114,Edmond Sumner,444
115,Xavier Munford,427
116,Trey Burke,401
117,Matt Williams,207
118,Yakuba Ouattara,195
119,Kay Felder,185
120,Reggie Hearn,108
