rank,name,votes
1,LeBron James,2638294
2,Giannis Antetokounmpo,2530211
3,Joel Embiid,1285587
4,Kristaps Porziņģis,1116769
5,Kevin Love,771929
7,Al Horford,384936
9,Andre Drummond,220736
6,Jayson Tatum,422620
8,Enes Kanter,294926
10,Dwight Howard,186844
12,Khris Middleton,109913
11,Serge Ibaka,117077
13,Hassan Whiteside,85802
14,Aaron Gordon,82507
26,Tobias Harris,40136
22,Myles Turner,52214
18,Michael Beasley,62966
25,Lauri Markkanen,43622
19,Jonas Valančiūnas,62472
28,Otto Porter,36302
16,Gordon Hayward,79261
17,Jeff Green,70349
27,Dario Šarić,36736
20,Tim Hardaway Jr.,57357
31,Robert Covington,31097
15,Cedi Osman,80610
35,Marcin Gortat,23934
29,Nikola Mirotić,32075
23,Tristan Thompson,48564
41,Bojan Bogdanović,16441
33,Kelly Oubre Jr.,27847
36,Bam Adebayo,21028
38,Thon Maker,19158
32,Domantas Sabonis,27989
56,Markieff Morris,9492
45,Boban Marjanović,13377
53,Thaddeus Young,10960
40,John Henson,16459
47,Quincy Acy,12948
54,Robin Lopez,10517
50,Josh Richardson,12167
61,Rondae Hollis-Jefferson,8255
46,Jabari Parker,13373
51,Jarrett Allen,11705
66,James Johnson,7535
64,Jahlil Okafor,7831
60,Willy Hernangómez,8439
70,DeMarre Carroll,6425
68,Kyle O'Quinn,6764
57,Michael Kidd-Gilchrist,9353
59,Doug McDermott,8558
67,Frank Kaminsky,6875
73,Bismack Biyombo,5841
74,Trevor Booker,5828
75,Dwayne Bacon,5716
82,Bobby Portis,4638
76,Ike Anigbogu,5391
78,Denzel Valentine,5049
85,Al Jefferson,4147
83,James Michael McAdoo,4564
94,Alex Poythress,3290
88,T.J. Leaf,3903
90,Semi Ojeleye,3673
96,Taurean Prince,3149
100,Amir Johnson,3068
108,Stanley Johnson,2695
21,Jae Crowder,55405
115,Tyler Zeller,2105
104,Lance Thomas,2852
24,OG Anunoby,44290
112,Marvin Williams,2393
30,Aron Baynes,31523
114,Anthony Tolliver,2180
34,Marcus Morris,25191
118,Tyler Cavanaugh,1896
37,Ersan İlyasova,20404
39,C.J. Miles,17766
42,Norman Powell,15432
43,Channing Frye,14331
44,Jakob Poeltl,13464
130,Johnny O'Bryant,1109
48,Nikola Vučević,12734
49,Daniel Theis,12290
134,Eric Moreland,630
52,Jonathon Simmons,11665
55,Pascal Siakam,10131
58,Evan Fournier,9177
62,Kelly Olynyk,8008
63,Nicolás Brussino,7945
65,Joakim Noah,7548
69,John Collins,6509
71,Dewayne Dedmon,6074
72,Mike Scott,6020
77,Bruno Caboclo,5071
79,Lucas Nogueira,4980
80,Udonis Haslem,4702
81,Cristiano Felício,4693
84,Luke Babbitt,4245
86,Guerschon Yabusele,4124
87,Ante Žižić,3905
89,Richaun Holmes,3689
91,A.J. Hammons,3584
92,Tomáš Satoranský,3423
93,Cody Zeller,3332
95,Abdel Nader,3258
97,Justise Winslow,3113
98,Marreese Speights,3110
99,Timofey Mozgov,3073
101,Paul Zipser,3020
102,DeAndre' Bembry,3000
103,Reggie Bullock,2864
105,Isaiah Hicks,2720
106,Joel Bolomboy,2716
107,D.J. Wilson,2713
109,Mirza Teletović,2614
110,Ian Mahinmi,2534
111,Henry Ellenson,2396
113,Khem Birch,2197
116,Jonathan Isaac,2080
117,Jason Smith,2010
119,Luke Kornet,1840
120,Miles Plumlee,1577
121,Chris McCullough,1487
122,Alfonzo McKinnie,1467
123,Mangok Mathiang,1268
123,Jon Leuer,1268
125,Okaro White,1263
126,Jordan Mickey,1250
127,Devin Robinson,1232
128,Wesley Iwundu,1211
129,Malcolm Miller,1143
131,Adreian Payne,873
132,Jacob Wiley,794
133,Mike Muscala,677
135,Michael Young,612
136,Ben Moore,267
137,Andrew White,104
138,James Webb III,56
139,Mindaugas Kuzminskas,4
