rank,name,votes
1,LeBron James,4620809
3,Kevin Durant,3150648
5,Anthony Davis,2520728
4,Paul George,3122346
2,Luka Dončić,4242980
7,Nikola Jokić,1445989
21,Rudy Gobert,196040
6,Steven Adams,1779073
9,Draymond Green,958761
13,LaMarcus Aldridge,463118
11,Karl-Anthony Towns,501401
12,Clint Capela,467048
10,DeMarcus Cousins,691722
8,Kyle Kuzma,1155582
19,Tobias Harris,219184
17,Danilo Gallinari,259799
18,Jerami Grant,238095
14,Brandon Ingram,447996
15,Dirk Nowitzki,394622
20,Carmelo Anthony,202117
22,DeAndre Jordan,173516
27,Andrew Wiggins,123527
30,Marc Gasol,102405
23,P.J. Tucker,149798
31,Deandre Ayton,101143
24,Jusuf Nurkić,131459
26,Boban Marjanović,123533
16,JaVale McGee,316015
28,Rudy Gay,122988
40,Harrison Barnes,69434
32,Kostas Antetokounmpo,98369
29,Nemanja Bjelica,121732
38,Nerlens Noel,72361
47,Montrezl Harrell,47205
43,Michael Beasley,55823
36,Joe Ingles,77335
33,Ivica Zubac,97263
42,Robert Covington,62266
37,Jordan Bell,73082
51,Dario Šarić,37201
39,Pau Gasol,71195
44,Dāvis Bertāns,52192
45,Julius Randle,48268
58,Willie Cauley-Stein,28256
54,Jakob Poeltl,31560
48,Danuel House,45459
64,Taj Gibson,26708
55,Marvin Bagley III,30830
66,Jaren Jackson Jr.,23390
63,T.J. Warren,27697
56,Maxi Kleber,30269
52,Kelly Oubre Jr.,33522
65,Al-Farouq Aminu,26552
60,Jae Crowder,28076
61,Nikola Mirotić,27799
62,Mason Plumlee,27733
73,Kosta Koufos,16408
69,Dwight Powell,20554
71,Dorian Finney-Smith,18470
72,Torrey Craig,18015
74,Zach Collins,16287
87,Kyle Anderson,10590
76,Gary Clark,15366
79,Meyers Leonard,12933
80,Johnathan Williams,12423
81,Mikal Bridges,12284
86,Josh Jackson,10617
84,Maurice Harkless,11822
90,Harry Giles,9678
93,Royce O'Neale,8163
94,Dante Cunningham,7472
104,Ryan Anderson,5711
98,Dragan Bender,6570
109,Jahlil Okafor,4247
105,Richaun Holmes,5639
108,Donte Grantham,4492
25,Jonas Jerebko,125647
111,Caleb Swanigan,4009
116,JaMychal Green,3409
34,Kevon Looney,91374
35,Tyson Chandler,78740
123,Wenyen Gabriel,2750
128,Tony Bradley,2552
41,Paul Millsap,63365
127,Ben Moore,2606
46,Juan Hernangómez,47464
132,Darius Miller,2012
134,Johnathan Motley,1832
49,Alfonzo McKinnie,40423
50,Nenê,38334
53,Patrick Patterson,31968
57,Abdel Nader,29254
59,Derrick Favors,28213
67,James Ennis,21347
68,Damian Jones,21317
70,Moritz Wagner,20529
75,Marcus Derrickson,15695
77,Marcin Gortat,15006
78,Omri Casspi,14031
82,Gorgui Dieng,12079
83,Trey Lyles,11872
85,Michael Porter Jr.,10756
88,Joakim Noah,9877
89,Jake Layman,9714
91,Justin Jackson,9271
92,Luol Deng,9035
95,Vince Edwards,7007
96,Marquese Chriss,6829
97,Anthony Tolliver,6788
99,Ekpe Udoh,6518
100,Isaiah Hartenstein,6370
101,Salah Mejri,6322
102,Thabo Sefolosha,6236
103,Zach Randolph,6231
106,Keita Bates-Diop,5116
107,Ray Spalding,4518
110,Ángel Delgado,4204
112,Drew Eubanks,3853
113,Mike Scott,3820
114,James Nunnally,3537
115,Thomas Welsh,3439
117,Luc Mbah a Moute,3125
118,Chandler Parsons,3030
119,George King,2964
120,Georges Niang,2942
121,Jarred Vanderbilt,2815
122,Cheick Diallo,2757
124,Tyler Lydon,2707
125,Chimezie Metu,2695
126,Troy Williams,2647
129,Skal Labissière,2471
130,Quincy Pondexter,2367
131,Tyler Cavanaugh,2126
133,Wesley Johnson,1919
135,Ivan Rabb,1628
136,Solomon Hill,1607
137,Jarnell Stokes,1049
138,Eric Moreland,538
