pts_per_g,per,ws,ws_per_48,bpm,Decision
24.jun,25.jan,13.avg,0.231,8.0,0.6579999999999999
21.feb,19.sep,10.avg,0.16,5.jan,0.613
26.feb,25.maj,14.mar,0.23,5.mar,0.414
27.avg,25.jan,13.jul,0.20199999999999999,3.jul,0.261
27.jan,22.sep,10.maj,0.182,1.jun,0.12
20.mar,22.0,11.feb,0.21100000000000002,5.sep,0.106
18.sep,25.feb,10.sep,0.228,5.0,0.077
18.avg,17.0,8.apr,0.154,2.0,0.07200000000000001
13.avg,14.mar,6.sep,0.11800000000000001,-1.3,0.046
22.jun,18.0,8.maj,0.135,0.8,0.027999999999999997
21.jun,25.jul,6.apr,0.225,9.feb,0.026000000000000002
30.jul,24.mar,13.jun,0.191,4.jun,0.022000000000000002
17.maj,17.mar,5.feb,0.11,-1.1,0.022000000000000002
21.sep,19.sep,9.jan,0.15,3.mar,0.017
15.feb,14.sep,2.avg,0.055999999999999994,-2.8,0.016
18.jul,18.0,8.0,0.132,1.maj,0.016
24.jun,20.mar,8.feb,0.152,2.apr,0.01
16.apr,17.jan,6.sep,0.10400000000000001,4.maj,0.01
18.avg,14.sep,7.jun,0.11900000000000001,0.0,0.009000000000000001
18.sep,18.apr,9.feb,0.156,2.jan,0.009000000000000001
17.jan,15.maj,5.maj,0.08900000000000001,-1.2,0.006999999999999999
17.sep,21.jul,12.mar,0.20800000000000002,4.sep,0.006
14.mar,19.jul,6.avg,0.185,3.apr,0.006
9.apr,12.feb,5.0,0.092,1.maj,0.004
18.0,18.apr,7.jan,0.157,0.9,0.004
5.0,13.maj,4.maj,0.11199999999999999,3.feb,0.004
13.maj,20.jan,9.feb,0.217,5.0,0.004
24.maj,17.maj,6.0,0.091,-1.5,0.004
17.jul,19.apr,7.0,0.16399999999999998,-0.3,0.004
13.mar,15.jan,5.apr,0.10800000000000001,1.jun,0.001
7.feb,10.jan,5.maj,0.1,0.8,0.001
31.jan,26.avg,15.apr,0.218,4.mar,0.735
22.sep,22.jun,12.maj,0.205,7.maj,0.588
24.apr,25.sep,13.mar,0.22899999999999998,7.avg,0.294
19.sep,22.jun,10.0,0.19,3.avg,0.19
