;fga;fg3a;fta;per;ts_pct;usg_pct;bpm;season;player;win_pct;votes_first;points_won;points_max;award_share;g;mp_per_g;pts_per_g;trb_perg;ast_per_g;stl_per_g;blk_per_g;fg_pct;fg3_pct;ft_pct;ws;ws_per_48;all_star_votes;all_star_share;Decision
0;18.jun;0.2;6.maj;25.jan;0.572;28.apr;8.0;1980-81;Julius Erving;0.7560975609756098;28.0;454.0;690.0;0.658;82.0;35.0;24.jun;8.0;4.apr;2.jan;1.avg;0.521;0.222;0.787;13.avg;0.231;180160;0.049;0.658
1;18.mar;0.9;4.0;19.sep;0.528;24.mar;5.jan;1980-81;Larry Bird;0.7560975609756098;20.0;423.0;690.0;0.613;82.0;39.5;21.feb;10.sep;5.maj;2.0;0.8;0.478;0.27;0.863;10.avg;0.16;114485;0.031;0.613
2;18.feb;0.0;6.sep;25.maj;0.616;26.mar;5.mar;1980-81;Kareem Abdul-Jabbar;0.6585365853658537;8.0;286.0;690.0;0.414;80.0;37.2;26.feb;10.mar;3.apr;0.7;2.sep;0.574;0.0;0.766;14.mar;0.23;201621;0.055;0.414
3;19.mar;0.0;10.jan;25.jan;0.585;27.jun;3.jul;1980-81;Moses Malone;0.4878048780487805;8.0;180.0;690.0;0.261;80.0;40.6;27.avg;14.avg;1.avg;1.0;1.sep;0.522;0.333;0.757;13.jul;0.202;184410;0.051;0.261
4;21.jan;0.4;7.jun;22.sep;0.555;32.3;1.jun;1980-81;George Gervin;0.6341463414634146;1.0;83.0;690.0;0.12;82.0;33.7;27.jan;5.jan;3.feb;1.jan;0.7;0.492;0.257;0.826;10.maj;0.182;286463;0.079;0.12
5;15.feb;0.1;5.0;22.0;0.583;23.mar;5.sep;1980-81;Marques Johnson;0.7317073170731707;1.0;73.0;690.0;0.106;76.0;33.4;20.mar;6.avg;4.jun;1.maj;0.5;0.552;0.0;0.706;11.feb;0.211;158253;0.043;0.106
6;14.feb;0.0;4.avg;25.feb;0.579;27.jan;5.0;1980-81;Robert Parish;0.7560975609756098;0.0;53.0;690.0;0.077;82.0;28.0;18.sep;9.maj;1.avg;1.0;2.jun;0.545;0.0;0.71;10.sep;0.228;0;0;0.077
7;15.apr;0.6;6.mar;17.0;0.516;24.jun;2.0;1980-81;Dennis Johnson;0.6951219512195121;0.0;50.0;690.0;0.072;79.0;33.1;18.avg;4.jun;3.jul;1.jul;0.8;0.436;0.216;0.82;8.apr;0.154;129664;0.036;0.072
8;9.jun;0.1;5.feb;14.mar;0.582;17.maj;-1.3;1980-81;Tiny Archibald;0.7560975609756098;0.0;32.0;690.0;0.046;80.0;35.3;13.avg;2.feb;7.jul;0.9;0.2;0.499;0.0;0.816;6.sep;0.118;0;0;0.046
9;18.maj;0.2;4.jan;18.0;0.556;24.maj;0.8;1980-81;Jamaal Wilkes;0.6585365853658537;0.0;19.0;690.0;0.028;81.0;37.4;22.jun;5.apr;2.sep;1.maj;0.4;0.526;0.077;0.758;8.maj;0.135;0;0;0.028
10;15.sep;0.5;6.jan;25.jul;0.582;24.mar;9.feb;1980-81;Magic Johnson;0.6585365853658537;0.0;18.0;690.0;0.026;37.0;37.1;21.jun;8.jun;8.jun;3.apr;0.7;0.532;0.176;0.76;6.apr;0.225;185754;0.051;0.026
11;20.mar;0.1;9.avg;24.mar;0.622;28.apr;4.jun;1980-81;Adrian Dantley;0.34146341463414637;1.0;15.0;690.0;0.022;80.0;42.7;30.jul;6.apr;4.0;1.apr;0.2;0.559;0.286;0.806;13.jun;0.191;145724;0.04;0.022
12;13.apr;0.5;5.apr;17.mar;0.553;23.mar;-1.1;1980-81;Phil Ford;0.4878048780487805;1.0;15.0;690.0;0.022;66.0;34.7;17.maj;1.sep;8.avg;1.maj;0.1;0.478;0.306;0.831;5.feb;0.11;0;0;0.022
13;15.apr;0.1;5.apr;19.sep;0.617;23.feb;3.mar;1980-81;Bernard King;0.47560975609756095;0.0;12.0;690.0;0.017;81.0;36.0;21.sep;6.avg;3.maj;0.9;0.4;0.588;0.333;0.703;9.jan;0.15;0;0;0.017
14;14.maj;0.4;2.jul;14.sep;0.484;24.mar;-2.8;1980-81;Kelvin Ransey;0.5487804878048781;1.0;11.0;690.0;0.016;80.0;30.apr;15.feb;2.apr;6.sep;1.jan;0.1;0.452;0.097;0.749;2.avg;0.056;0;0;0.016
15;16.0;0.1;5.0;18.0;0.512;23.jun;1.maj;1980-81;Jack Sikma;0.4146341463414634;0.0;11.0;690.0;0.016;82.0;35.6;18.jul;10.apr;3.0;1.0;1.jan;0.454;0.0;0.823;8.0;0.132;134474;0.037;0.016
16;18.apr;0.5;6.apr;20.mar;0.58;26.avg;2.apr;1980-81;Otis Birdsong;0.4878048780487805;0.0;7.0;690.0;0.01;71.0;36.5;24.jun;3.jun;3.mar;1.mar;0.3;0.544;0.286;0.697;8.feb;0.152;0;0;0.01
17;14.jan;1.mar;4.mar;17.jan;0.511;20.0;4.maj;1980-81;Micheal Ray Richardson;0.6097560975609756;0.0;7.0;690.0;0.01;79.0;40.2;16.apr;6.sep;7.sep;2.sep;0.4;0.469;0.225;0.663;6.sep;0.104;0;0;0.01
18;15.jun;0.0;4.avg;14.sep;0.531;21.maj;0.0;1980-81;Truck Robinson;0.6951219512195121;0.0;6.0;690.0;0.009;82.0;37.7;18.avg;9.jun;2.maj;0.8;0.5;0.505;0.0;0.629;7.jun;0.119;0;0;0.009
19;13.apr;1.jan;6.jul;18.apr;0.578;23.jan;2.jan;1980-81;Reggie Theus;0.5487804878048781;0.0;6.0;690.0;0.009;82.0;34.4;18.sep;3.maj;5.feb;1.maj;0.2;0.495;0.2;0.809;9.feb;0.156;0;0;0.009
20;15.mar;0.2;3.feb;15.maj;0.511;21.avg;-1.2;1980-81;Norm Nixon;0.6585365853658537;0.0;5.0;690.0;0.007;79.0;37.5;17.jan;2.sep;8.avg;1.avg;0.1;0.476;0.167;0.778;5.maj;0.089;0;0;0.007
21;10.0;0.0;6.maj;21.jul;0.699;18.maj;4.sep;1980-81;Artis Gilmore;0.5487804878048781;0.0;4.0;690.0;0.006;82.0;34.5;17.sep;10.jan;2.jan;0.6;2.apr;0.67;0.0;0.705;12.mar;0.208;0;0;0.006
22;10.jul;0.0;4.jan;19.jul;0.573;21.avg;3.apr;1980-81;Bob Lanier;0.7317073170731707;0.0;4.0;690.0;0.006;67.0;26.feb;14.mar;6.feb;2.jul;1.jan;1.feb;0.525;1.0;0.751;6.avg;0.185;0;0;0.006
23;8.jan;0.2;1.avg;12.feb;0.53;13.maj;1.maj;1980-81;Michael Cooper;0.6585365853658537;0.0;3.0;690.0;0.004;81.0;32.4;9.apr;4.jan;4.jan;1.jun;1.0;0.491;0.211;0.785;5.0;0.092;0;0;0.004
24;14.jan;0.2;3.feb;18.apr;0.579;25.jun;0.9;1980-81;Walter Davis;0.6951219512195121;0.0;3.0;690.0;0.004;78.0;28.0;18.0;2.jun;3.sep;1.feb;0.2;0.539;0.412;0.836;7.jan;0.157;100546;0.028;0.004
25;4.feb;0.0;1.mar;13.maj;0.517;10.apr;3.feb;1980-81;George Johnson;0.6341463414634146;0.0;3.0;690.0;0.004;82.0;23.jun;5.0;7.mar;1.jan;0.6;3.apr;0.473;0.0;0.734;4.maj;0.112;0;0;0.004
26;9.mar;0.0;4.mar;20.jan;0.604;20.avg;5.0;1980-81;Bobby Jones;0.7560975609756098;0.0;3.0;690.0;0.004;81.0;25.mar;13.maj;5.apr;2.avg;1.feb;0.9;0.539;0.0;0.813;9.feb;0.217;0;0;0.004
27;21.avg;0.1;4.jul;17.maj;0.513;26.sep;-1.5;1980-81;Mike Mitchell;0.34146341463414637;0.0;3.0;690.0;0.004;82.0;39.0;24.maj;6.jan;1.jul;0.8;0.6;0.476;0.444;0.784;6.0;0.091;0;0;0.004
28;13.mar;0.0;5.sep;19.apr;0.557;26.jan;-0.3;1980-81;James Silas;0.6341463414634146;0.0;3.0;690.0;0.004;75.0;27.apr;17.jul;3.jan;3.avg;0.7;0.2;0.477;0.0;0.85;7.0;0.164;116492;0.032;0.004
29;11.jul;0.1;2.maj;15.jan;0.522;21.jan;1.jun;1980-81;Quinn Buckner;0.7317073170731707;0.0;1.0;690.0;0.001;82.0;29.jan;13.mar;3.jun;4.jul;2.apr;0.0;0.493;0.167;0.734;5.apr;0.108;0;0;0.001
30;6.0;0.0;2.apr;10.jan;0.512;11.mar;0.8;1980-81;Caldwell Jones;0.7560975609756098;0.0;1.0;690.0;0.001;81.0;32.6;7.feb;10.0;1.maj;0.7;1.jul;0.449;0.0;0.767;5.maj;0.1;0;0;0.001
31;22.maj;0.1;10.feb;26.avg;0.576;29.sep;4.mar;1981-82;Moses Malone;0.5609756097560976;40.0;507.0;690.0;0.735;81.0;42.0;31.jan;14.jul;1.avg;0.9;1.maj;0.519;0.0;0.762;15.apr;0.218;136014;0.027;0.735
32;18.apr;0.7;4.sep;22.jun;0.557;25.feb;7.maj;1981-82;Larry Bird;0.7682926829268293;20.0;406.0;690.0;0.588;77.0;38.0;22.sep;10.sep;5.avg;1.sep;0.9;0.503;0.212;0.863;12.maj;0.205;0;0;0.588
33;17.jun;0.1;6.jul;25.sep;0.593;28.jan;7.avg;1981-82;Julius Erving;0.7073170731707317;1.0;203.0;690.0;0.294;81.0;34.4;24.apr;6.sep;3.sep;2.0;1.jul;0.546;0.273;0.763;13.mar;0.229;304600;0.059;0.294
34;15.apr;0.0;4.apr;22.jun;0.571;25.maj;3.avg;1981-82;Robert Parish;0.7682926829268293;4.0;131.0;690.0;0.19;80.0;31.jul;19.sep;10.avg;1.avg;0.9;2.apr;0.542;0.0;0.71;10.0;0.19;0;0;0.19
35;19.sep;0.5;5.maj;21.avg;0.526;28.maj;4.feb;1981-82;Gus Williams;0.6341463414634146;2.0;115.0;690.0;0.167;80.0;36.0;23.apr;3.jan;6.sep;2.feb;0.5;0.486;0.225;0.734;10.feb;0.171;0;0;0.167
36;25.feb;0.5;8.jan;24.feb;0.562;35.0;1.jul;1981-82;George Gervin;0.5853658536585366;1.0;110.0;690.0;0.159;79.0;35.7;32.3;5.0;2.apr;1.0;0.6;0.5;0.278;0.864;10.jul;0.182;209549;0.041;0.159
37;13.mar;0.2;7.feb;20.jan;0.601;21.0;5.maj;1981-82;Sidney Moncrief;0.6707317073170732;1.0;101.0;690.0;0.146;80.0;37.3;19.avg;6.jul;4.avg;1.jul;0.3;0.523;0.071;0.817;13.apr;0.216;0;0;0.146
38;13.mar;0.4;5.jun;22.sep;0.59;20.jan;8.mar;1981-82;Magic Johnson;0.6951219512195121;0.0;67.0;690.0;0.097;78.0;38.3;18.jun;9.jun;9.maj;2.jul;0.4;0.537;0.207;0.76;12.sep;0.207;0;0;0.097
