	season	votes
0	1980	3647276
1	1981	5132521
2	1982	6761900
3	1983	10811581
4	1984	12620445
5	1985	12229778
6	1986	18515546
7	1987	20933718
8	1988	21106924
9	1989	17344765
10	1990	5752326
11	1991	15982280
12	1992	18092999
13	1993	17525429
14	1994	18931166
15	1995	32859646
16	1996	27392006
17	1997	33454725
18	1998	15717687
19	2000	28322254
20	2001	32437602
21	2002	18942281
22	2003	28108386
23	2004	32871375
24	2005	38449661
25	2006	39385482
26	2007	44206195
27	2008	39068664
28	2009	56622006
29	2010	41079028
30	2011	40869511
31	2012	21741674
32	2013	20961325
33	2014	20809828
34	2015	22048011
35	2016	23088674
36	2017	38107444
37	2018	44762632
38	2019	89551622
